batch_id,run_id,final_status,normalized_status,final_stage,attempt_count,rule_duration_sec,full_duration_sec,final_pending,strict_success,normalized_success,strict_normalized_delta,frozen_status
humantime_direct_llm_1shot::batch_0040,humantime_direct_llm_1shot,unresolved_after_full,normalized_unresolved,full,1,5.47,119.884,True,False,False,0,frozen_unresolved
humantime_direct_llm_1shot::batch_0041,humantime_direct_llm_1shot,unresolved_after_full,normalized_unresolved,full,1,7.881,86.781,True,False,False,0,frozen_unresolved
humantime_direct_llm_1shot::batch_0042,humantime_direct_llm_1shot,unresolved_after_full,normalized_unresolved,full,1,6.866,92.477,True,False,False,0,frozen_unresolved
humantime_direct_llm_1shot::batch_0043,humantime_direct_llm_1shot,unresolved_after_full,normalized_unresolved,full,1,6.268,20.873,True,False,False,0,frozen_unresolved
humantime_direct_llm_1shot::batch_0044,humantime_direct_llm_1shot,unresolved_after_full,normalized_unresolved,full,1,6.93,19.771,True,False,False,0,frozen_unresolved
humantime_direct_llm_1shot::batch_0045,humantime_direct_llm_1shot,unresolved_after_full,normalized_unresolved,full,1,6.319,16.823,True,False,False,0,frozen_unresolved
humantime_direct_llm_1shot::batch_0046,humantime_direct_llm_1shot,unresolved_after_full,normalized_unresolved,full,1,6.315,139.899,True,False,False,0,frozen_unresolved
humantime_gemini-2.5-flash-nothinking_20251109_134926::batch_0001,humantime_gemini-2.5-flash-nothinking_20251109_134926,resolved_by_rule,normalized_resolved,rule,1,7.132,,False,True,True,0,frozen_cleared
humantime_gemini-2.5-flash-nothinking_20251109_134926::batch_0002,humantime_gemini-2.5-flash-nothinking_20251109_134926,resolved_by_rule,normalized_resolved,rule,1,6.141,,False,True,True,0,frozen_cleared
humantime_gemini-2.5-flash-nothinking_20251109_134926::batch_0003,humantime_gemini-2.5-flash-nothinking_20251109_134926,resolved_by_rule,normalized_resolved,rule,1,6.28,,False,True,True,0,frozen_cleared
humantime_gemini-2.5-flash-nothinking_20251109_134926::batch_0004,humantime_gemini-2.5-flash-nothinking_20251109_134926,resolved_by_rule,normalized_resolved,rule,1,6.002,,False,True,True,0,frozen_cleared
humantime_gemini-2.5-flash-nothinking_20251109_134926::batch_0005,humantime_gemini-2.5-flash-nothinking_20251109_134926,resolved_by_rule,normalized_resolved,rule,1,7.62,,False,True,True,0,frozen_cleared
humantime_gemini-2.5-flash-nothinking_20251109_134926::batch_0006,humantime_gemini-2.5-flash-nothinking_20251109_134926,resolved_by_rule,normalized_resolved,rule,1,7.361,,False,True,True,0,frozen_cleared
humantime_gemini-2.5-flash-nothinking_20251109_134926::batch_0007,humantime_gemini-2.5-flash-nothinking_20251109_134926,resolved_by_rule,normalized_resolved,rule,1,7.609,,False,True,True,0,frozen_cleared
humantime_gemini-2.5-flash-nothinking_20251109_134926::batch_0008,humantime_gemini-2.5-flash-nothinking_20251109_134926,resolved_by_rule,normalized_resolved,rule,1,6.285,,False,True,True,0,frozen_cleared
humantime_gemini-2.5-flash-nothinking_20251109_134926::batch_0009,humantime_gemini-2.5-flash-nothinking_20251109_134926,resolved_by_rule,normalized_resolved,rule,1,7.559,,False,True,True,0,frozen_cleared
humantime_gemini-2.5-flash-nothinking_20251109_134926::batch_0010,humantime_gemini-2.5-flash-nothinking_20251109_134926,resolved_by_rule,normalized_resolved,rule,1,6.798,,False,True,True,0,frozen_cleared
humantime_gemini-2.5-flash-nothinking_20251109_134926::batch_0011,humantime_gemini-2.5-flash-nothinking_20251109_134926,resolved_by_rule,normalized_resolved,rule,1,6.579,,False,True,True,0,frozen_cleared
humantime_gemini-2.5-flash-nothinking_20251109_134926::batch_0012,humantime_gemini-2.5-flash-nothinking_20251109_134926,resolved_by_rule,normalized_resolved,rule,1,7.136,,False,True,True,0,frozen_cleared
humantime_gemini-2.5-flash-nothinking_20251109_134926::batch_0013,humantime_gemini-2.5-flash-nothinking_20251109_134926,resolved_by_rule,normalized_resolved,rule,1,6.39,,False,True,True,0,frozen_cleared
humantime_gemini-2.5-flash-nothinking_20251109_134926::batch_0014,humantime_gemini-2.5-flash-nothinking_20251109_134926,resolved_by_rule,normalized_resolved,rule,1,7.481,,False,True,True,0,frozen_cleared
humantime_gemini-2.5-flash-nothinking_20251109_134926::batch_0015,humantime_gemini-2.5-flash-nothinking_20251109_134926,resolved_by_rule,normalized_resolved,rule,1,7.172,,False,True,True,0,frozen_cleared
humantime_gemini-2.5-flash-nothinking_20251109_134926::batch_0016,humantime_gemini-2.5-flash-nothinking_20251109_134926,resolved_by_rule,normalized_resolved,rule,1,7.775,,False,True,True,0,frozen_cleared
humantime_gemini-2.5-flash-nothinking_20251109_134926::batch_0017,humantime_gemini-2.5-flash-nothinking_20251109_134926,resolved_by_rule,normalized_resolved,rule,1,7.736,,False,True,True,0,frozen_cleared
humantime_gemini-2.5-flash-nothinking_20251109_134926::batch_0018,humantime_gemini-2.5-flash-nothinking_20251109_134926,resolved_by_full,normalized_resolved,full,1,6.149,10.377,False,True,True,0,frozen_cleared
humantime_gemini-2.5-flash-nothinking_20251109_134926::batch_0019,humantime_gemini-2.5-flash-nothinking_20251109_134926,resolved_by_full,normalized_resolved,full,1,6.11,11.651,False,True,True,0,frozen_cleared
humantime_gemini-2.5-flash-nothinking_20251109_134926::batch_0020,humantime_gemini-2.5-flash-nothinking_20251109_134926,resolved_by_full,normalized_resolved,full,1,7.547,14.262,False,True,True,0,frozen_cleared
